15,dir.,pic.,success time,acc. 
Green plate,5,75,8,53.33
AC adapter,3,85,1,6.67
Candy,10,3,7,46.67
Spray can,9,3,7,46.67
Tooth brush,7,30,7,46.67
Chocolate snack,7,3,8,53.33
Cell phone,3,3,8,53.33
Cosmetic bottle,9,26,9,60.00
PC mouse,1,23,6,40.00
Pen,1,32,5,33.33
Book,6,25,3,20.00
Spoon,4,3,8,53.33
Flashlight,5,7,5,33.33
Green pepper,8,38,9,60.00
Cup,3,17,3,20.00
Lemon,8,24,13,86.67
Sunglasses,1,9,6,40.00
Knife,4,21,6,40.00
Spatula,4,11,9,60.00
Whisk,7,22,7,46.67
T-shaped razor,2,24,7,46.67
