15,dir.,pic.,success time,acc. 
プレート,5,75,11,73.33
AC アダプタ,3,85,4,26.67
棒付き飴,10,3,10,66.67
スプレー缶,9,3,8,53.33
歯ブラシ,7,30,7,46.67
チョコレートバー,7,3,9,60
携帯電話,3,3,9,60
化粧品ボトル,9,26,14,93.33
PC マウス,1,23,13,86.67
ペン,1,32,12,80
本,6,25,10,66.67
スプーン,4,3,8,53.33
懐中電灯,5,7,7,46.67
ピーマン,8,38,13,86.67
コップ,3,17,5,33.33
レモン,8,24,14,93.33
サングラス,1,9,6,40
ナイフ,4,21,5,33.33
フライ返し,4,11,10,66.67
泡立て器,7,22,12,80
T 字カミソリ,2,24,8,53.33
